id,headline,link,tag,cleandate,type,publishedin,usingdate,publishednew,pbnew
16,Donald Trump's Military Record Compared To John McCain's,http://www.huffingtonpost.com/2015/07/19/donald-trump-military-record_n_7829736.html?utm_hp_ref=donald-trump,Donald Trump,7/19/15,Trump,Huffpost Comedy,7/19/15,Huffpost Comedy,Huffpost Entertainment/Comedy
17,Donald Trump Will Not Apologize To John McCain,http://www.huffingtonpost.com/2015/07/19/donald-trump-will-not-apologize-to-john-mccain_n_7827540.html?utm_hp_ref=donald-trump,Donald Trump,7/19/15,Trump,Huffpost Entertainment,7/19/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
18,Donald Trump's Arrogance Is Outdated In Corporate America,http://www.huffingtonpost.com/2015/07/17/donald-trump-leadership-style_n_7831422.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Business,7/20/15,Other,Other
19,The Donald's Defect: Why EQ Trumps IQ | Alex Budak,http://www.huffingtonpost.com/alex-budak/the-donalds-defect-why-eq_b_7830850.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Impact,7/20/15,Other,Other
20,Trump Proves That Capitalism Is Broken | Cody Cain,http://www.huffingtonpost.com/cody-cain/trump-proves-that-capital_b_7828972.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Business,7/20/15,Other,Other
21,Trump's Position With Golf and LPGA Promps Southworth to Extend Offer to Ricoh Women's British Open | Elisa Gaudet,http://www.huffingtonpost.com/elisa-gaudet/trumps-position-with-golf_b_7813760.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Sports,7/20/15,Other,Other
22,Midsummer Report On The GOP Field (Without You-Know-Who),http://www.huffingtonpost.com/2015/07/19/ranking-actual-gop-field_n_7829030.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Politics,7/20/15,Huffpost Politics,Huffpost Politics/Pollster
23,Republicans Have the Best Bullies | Marty Kaplan,http://www.huffingtonpost.com/marty-kaplan/republicans-have-the-best_b_7831614.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Politics,7/20/15,Huffpost Politics,Huffpost Politics/Pollster
24,On Military Service and Politics | Scott Ritter,http://www.huffingtonpost.com/scott-ritter/on-military-service-and-p_b_7836844.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Politics,7/20/15,Huffpost Politics,Huffpost Politics/Pollster
25,Rupert Murdoch's Media Empire Split Over Donald Trump,http://www.huffingtonpost.com/2015/07/20/rupert-murdoch-trump-fox-news_n_7834454.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Media,7/20/15,Huffpost Media,Huffpost Media
26,"Trump Insists He Called McCain A War Hero, But Video Suggests Otherwise",http://www.huffingtonpost.com/2015/07/20/trump-insists-he-called-mccain-a-war-hero-video-and-experts-suggests-otherwise_n_7835570.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
27,John McCain Responds To Comments He's Not A War Hero Because He Was Captured,http://www.huffingtonpost.com/2015/07/20/john-mccain-donald-trump_n_7831904.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
28,"Thank You, Donald -- How Trump Could Determine the Outcome of the Presidential Election | Peter Dreier",http://www.huffingtonpost.com/peter-dreier/thank-you-donald-trump_1_b_7829670.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
29,Bombshell: Trump Tower Discovered on Pluto | James Heffernan,http://www.huffingtonpost.com/james-heffernan/exclusive-trump-tower-dis_b_7824548.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Comedy,7/20/15,Huffpost Comedy,Huffpost Entertainment/Comedy
30,Trumpism: Did Swift-boating McCain Go Too Far? Or Will the Rest of the GOP Have to Start a Third Party? | Terry Connelly,http://www.huffingtonpost.com/terry-connelly/trumpism-did-swiftboating_b_7836556.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
31,Trump's Badmouthing Deportment | Raul A. Reyes,http://www.huffingtonpost.com/raul-a-reyes/trumps-badmouthing-deport_b_7833942.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
32,Donald Trump: The Bull in a China Shop | Charlotte Laws,http://www.huffingtonpost.com/charlotte-laws/donald-trump-the-bull-in-_b_7822302.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
33,Trump's Standard Conservative Playbook | Jon Soltz,http://www.huffingtonpost.com/jon-soltz/trumps-standard-conservat_b_7832790.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Entertainment,7/20/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
34,Donald Trump Has Been Located! | Warren J. Blumenfeld,http://www.huffingtonpost.com/warren-j-blumenfeld/donald-trump-has-been-loc_b_7824750.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Comedy,7/20/15,Huffpost Comedy,Huffpost Entertainment/Comedy
35,Donald Trump: The Winston Churchill of the 21st Century? | Kipp Friedman,http://www.huffingtonpost.com/kipp-friedman/donald-trumpthe-winston-c_b_7824018.html?utm_hp_ref=donald-trump,Donald Trump,7/20/15,Trump,Huffpost Comedy,7/20/15,Huffpost Comedy,Huffpost Entertainment/Comedy
36,Global Solidarity Trumps The Donald | Napole‰Û¡Ì¦_‰Û¡Ì_å«n G‰Û¡Ì¦_‰Û¡Ì_å«mez Urrutia,http://www.huffingtonpost.com/napolean-gamez-urrutia/global-solidarity-trumps-the-donald_b_7843224.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Latino Voices,7/21/15,Huffpost Latino Voices,Other
37,George Lopez Uses Anti-Gay Slur In Anti-Donald Trump Chant,http://www.huffingtonpost.com/2015/07/21/george-lopez-anti-gay-slur-donald-trump_n_7842078.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Gay Voices,7/21/15,Other,Other
38,Immigrant Soldiers Considered More Courageous Than Donald Trump | DeeDee Garcia Blase,http://www.huffingtonpost.com/deedee-garcia-blase/immigrant-soldiers-vetera_b_7837438.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Latino Voices,7/21/15,Huffpost Latino Voices,Other
39,Iraq Is Not Iraq Anymore | Stanley Weiss,http://www.huffingtonpost.com/stanley-weiss/iraq-is-not-iraq-anymore_b_7842980.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost WorldPost,7/21/15,Other,Other
40,Does Donald Trump Know Any 'Illegals'? | Joe Seldner,http://www.huffingtonpost.com/joe-seldner/donald-trump-illegals_b_7794620.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Fifty,7/21/15,Other,Other
41,Hogan's Not-Heroes and Trump's Wild Card Rants | Howard Barbanel,http://www.huffingtonpost.com/howard-barbanel/hogans-not-heroes-and-trump_b_7835656.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Politics,7/21/15,Huffpost Politics,Huffpost Politics/Pollster
42,"Dating and Patriotism: Part One, American Love Affair | Elizabeth Lazar",http://www.huffingtonpost.com/elizabeth-lazar/dating-and-patriotism-an-_b_7820978.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Politics,7/21/15,Huffpost Politics,Huffpost Politics/Pollster
43,162 Talking Heads Have Weighed In On Trump vs. McCain,http://www.huffingtonpost.com/2015/07/21/trump-mccain-media-talking-heads_n_7844138.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Media,7/21/15,Huffpost Media,Huffpost Media
44,"More 2016 Candidates' Private Numbers, Brought To You By Trump",http://www.huffingtonpost.com/2015/07/21/more-2016-candidates-private-numbers-brought-to-you-by-trump_n_7844426.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Comedy,7/21/15,Huffpost Comedy,Huffpost Entertainment/Comedy
45,Reporter Question Proves Trump 2016 Is An Entertainment Story,http://www.huffingtonpost.com/2015/07/21/donald-trump-2016-entertainment_n_7844980.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Entertainment,7/21/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
46,Donald Trump Escalates Feud With 'Idiot' Lindsey Graham In South Carolina,http://www.huffingtonpost.com/2015/07/21/donald-trump-escalates-feud-with-idiot-lindsey-graham-in-south-carolina_n_7842178.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Entertainment,7/21/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
47,Harry Reid: 'No Meaningful Difference' Between Trump And GOP On Immigration,http://www.huffingtonpost.com/2015/07/21/harry-reid-donald-trump_n_7841296.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Entertainment,7/21/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
48,Jon Stewart Wonders 'What The F**k Is Wrong' With Donald Trump,http://www.huffingtonpost.com/2015/07/21/jon-stewart-donald-trump_n_7838770.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Comedy,7/21/15,Huffpost Comedy,Huffpost Entertainment/Comedy
49,American Backstab: Sarah Palin's Second Betrayal of John McCain | Geoffrey Dunn,http://www.huffingtonpost.com/geoffrey-dunn/sarah-palin-john-mccain-donald-trump_b_7837860.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Entertainment,7/21/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
50,Donald Trump's Hair Announces Separate White House Run | Dan Miles,http://www.huffingtonpost.com/dan-miles/donald-trumps-hair-announ_b_7839580.html?utm_hp_ref=donald-trump,Donald Trump,7/21/15,Trump,Huffpost Comedy,7/21/15,Huffpost Comedy,Huffpost Entertainment/Comedy
51,Donald Trump Is Currently The Most Googled Presidential Candidate,http://www.huffingtonpost.com/2015/07/22/donald-trump-google_n_7848834.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Technology,7/22/15,Other,Other
52,Donald Trump Won't Make His Clothes In America But These Awesome Designers Will | David Dietz,http://www.huffingtonpost.com/david-dietz/donald-trump-wont-make-hi_b_7845236.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Impact,7/22/15,Other,Other
53,This Is Rick Perry's Moment | Mark Yzaguirre,http://www.huffingtonpost.com/mark-yzaguirre/rick-perrys-moment_b_7845396.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Politics,7/22/15,Huffpost Politics,Huffpost Politics/Pollster
54,The Bob & Chez Show Podcast: Trump Is Winning and Fox & Friends Has a Solution for Shark Attacks | Bob Cesca,http://www.huffingtonpost.com/bob-cesca/the-bob-chez-show-podcast_5_b_7845326.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Politics,7/22/15,Huffpost Politics,Huffpost Politics/Pollster
55,Blame The Media For Donald Trump's Rise In The Polls,http://www.huffingtonpost.com/2015/07/22/blame-the-media-for-donald-trumps-rise-in-the-polls_n_7850966.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Media,7/22/15,Huffpost Media,Huffpost Media
56,How the Press Missed the Trump Surge | Eric Boehlert,http://www.huffingtonpost.com/eric-boehlert/how-the-press-missed-the_b_7848316.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Media,7/22/15,Huffpost Media,Huffpost Media
57,Lindsey Graham Predicted His Flip Phone's Demise Weeks Ago,http://www.huffingtonpost.com/2015/07/22/lindsey-graham-destroys-cell-phone_n_7852598.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
58,Lindsey Graham Annihilates His Cell Phone,http://www.huffingtonpost.com/2015/07/22/lindsey-graham-destroys-cell-phone-donald-trump_n_7851648.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
59,Donald Trump Is A Plutocrat Populist From Hell,http://www.huffingtonpost.com/2015/07/22/donald-trump-plutocrat-populist_n_7850890.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
60,President Rudy Giuliani Wants To Remind You That Poll Numbers Don't Matter At This Point In The Campaign,http://www.huffingtonpost.com/2015/07/21/donald-trump-polls_n_7848860.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
61,This Painting Of Donald Trump As Borat Is The Real 'American Gothic',http://www.huffingtonpost.com/2015/07/22/donald-trump-painting_n_7851468.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Comedy,7/22/15,Huffpost Comedy,Huffpost Entertainment/Comedy
62,I Like Business Leaders Who Don't Declare Bankruptcy Multiple Times | John A. Tures,http://www.huffingtonpost.com/john-a-tures/i-like-business-leaders-w_b_7850914.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
63,Cabbie in Chief | Charles Kolb,http://www.huffingtonpost.com/charles-kolb/cabbie-in-chief_b_7840004.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
64,Trump: The Stall for a Pickpocket Candidate | Mike Bonifer,http://www.huffingtonpost.com/mike-bonifer/trump-the-stall-for-a-pic_b_7828610.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
65,The Plays to Counter The Donald | Alan Kelly,http://www.huffingtonpost.com/alan-kelly/the-plays-to-counter-the-_b_7839766.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Entertainment,7/22/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
66,GOP Inside Out Characters | Ted McCagg,http://www.huffingtonpost.com/ted-mccagg/gop-inside-out-characters_b_7835746.html?utm_hp_ref=donald-trump,Donald Trump,7/22/15,Trump,Huffpost Comedy,7/22/15,Huffpost Comedy,Huffpost Entertainment/Comedy
67,Trump and Lopez Don't Speak for Anyone But Themselves | Monica Trasandes,http://www.huffingtonpost.com/monica-trasandes/trump-and-lopez-dont-speak-for-anyone_b_7852726.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Latino Voices,7/23/15,Huffpost Latino Voices,Other
68,Immigrant Youth Give Dianne Feinstein 'Donald Trump Award',http://www.huffingtonpost.com/2015/07/23/dianne-feinstein-donald-trump-award_n_7861088.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Latino Voices,7/23/15,Huffpost Latino Voices,Other
69,What Entrepreneurs Can Learn About PR From Donald Trump's Presidential Campaign | Richard Lorenzen,http://www.huffingtonpost.com/richard-lorenzen/what-entrepreneurs-can-le_3_b_7856500.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Business,7/23/15,Other,Other
70,New York Protesters Tell Chuck Schumer: Kill Iran Nuclear Deal,http://www.huffingtonpost.com/2015/07/23/new-york-protest-iran-nuclear-deal_n_7858074.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Politics,7/23/15,Huffpost Politics,Huffpost Politics/Pollster
71,"We Polled True Activist Grassroots Republicans, And Here's Who They're Backing",http://www.huffingtonpost.com/2015/07/22/republican-activists-primary-poll_n_7856398.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Politics,7/23/15,Huffpost Politics,Huffpost Politics/Pollster
72,Is Scott Walker Less of an Extremist Than Donald Trump? | Robert Naiman,http://www.huffingtonpost.com/robert-naiman/is-scott-walker-less-of-a_b_7859546.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Politics,7/23/15,Huffpost Politics,Huffpost Politics/Pollster
73,Hillary Clinton's Economic Plan | Bob Burnett,http://www.huffingtonpost.com/bob-burnett/hillary-clintons-economic-plan_b_7856394.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Politics,7/23/15,Huffpost Politics,Huffpost Politics/Pollster
74,Love and Patriotism: Part Two in An American Affair | Elizabeth Lazar,http://www.huffingtonpost.com/elizabeth-lazar/dating-and-patriotism-par_b_7833614.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Politics,7/23/15,Huffpost Politics,Huffpost Politics/Pollster
75,Glenn Beck's Show Won't Cover Donald Trump Anymore,http://www.huffingtonpost.com/2015/07/23/glenn-beck-donald-trump_n_7859554.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Media,7/23/15,Huffpost Media,Huffpost Media
76,Trump at the Border | Jeff Danziger,http://www.huffingtonpost.com/jeff-danziger/trumpmexborder_b_7859806.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
77,"Donald Trump Goes To The Mexican Border, Because Why Not",http://www.huffingtonpost.com/2015/07/23/donald-trump-border_n_7861260.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
78,Lindsey Graham's Leaked Voicemails Are Very Revealing,http://www.huffingtonpost.com/2015/07/23/lindsey-grahams-leaked-voicemails_n_7859934.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
79,Donald Trump Threatens To Run As A Third Party Candidate,http://www.huffingtonpost.com/2015/07/23/donald-trump-third-party_n_7857026.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
80,Journalist Jose Antonio Vargas: The Media Lets Trump 'Get Away With Far Too Much',http://www.huffingtonpost.com/2015/07/23/jose-antonio-vargas-trump_n_7860740.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
81,Who Said It: Donald Trump Or Mr. Burns From 'The Simpsons'?,http://www.huffingtonpost.com/2015/07/23/donald-trump-or-mr-burns-simpsons_n_7859658.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
82,Jon Stewart Skewers GOP Over Iran Nuclear Deal Complaints,http://www.huffingtonpost.com/2015/07/23/jon-stewart-gop-iran-nuclear-deal_n_7854942.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
83,The Donald Trump Rap | Alena Dillon,http://www.huffingtonpost.com/alena-dillon/the-donald-trump-rap_b_7848742.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
84,Incredible News Flash: Trump to Drop Out of Presidential Race!! | Mark Steinberg,http://www.huffingtonpost.com/mark-steinberg/trump-drops-out-satire_b_7845642.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
85,Keep On Rockin' The GOP | Allen Schmertzler,http://www.huffingtonpost.com/allen-schmertzler-/keep-on-rockin-the-gop_b_7851646.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
86,Why Donald Trump is a Positional Leader | Richard La Bella,http://www.huffingtonpost.com/richard-la-bella/why-donald-trump-is-a-pos_b_7851758.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Entertainment,7/23/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
87,A Message From Donald Trump's Hair | Robert Brenner,http://www.huffingtonpost.com/robert-brenner/a-message-from-donald-tru_b_7832874.html?utm_hp_ref=donald-trump,Donald Trump,7/23/15,Trump,Huffpost Comedy,7/23/15,Huffpost Comedy,Huffpost Entertainment/Comedy
88,Playing Politics With Tragedy: Kathryn Steinle's Death and the Crackdown on Sanctuary Cities | The Center for Constitutional Rights,http://www.huffingtonpost.com/the-center-for-constitutional-rights/playing-politics-with-tra_b_7866604.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Latino Voices,7/24/15,Huffpost Latino Voices,Other
89,Donald Trump Earns All-Important Dennis Rodman Endorsement,http://www.huffingtonpost.com/2015/07/24/donald-trump-earns-all-important-dennis-rodman-endorsement_n_7867904.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Sports,7/24/15,Other,Other
90,The Republican Party Needs to Dump Trump | Janet Murgu‰Û¡Ì¦_‰Û¡Ì_Ì_a,http://www.huffingtonpost.com/janet-murguia/the-republican-party-need_b_7867246.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Latino Voices,7/24/15,Huffpost Latino Voices,Other
91,Week to Week News Quiz for 7/24/15: Way Too Early Campaign 2016 Special Edition | John Zipperer,http://www.huffingtonpost.com/john-zipperer/week-to-week-news-quiz-fo_b_7866894.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost San Francisco,7/24/15,Other,Other
92,All the Chickens | Robert Slayton,http://www.huffingtonpost.com/robert-slayton/all-the-chickens_1_b_7851088.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Black Voices,7/24/15,Other,Other
93,HUFFPOLLSTER: Republicans Are Growing Dissatisfied With Their Party,http://www.huffingtonpost.com/2015/07/24/republican-party-image-decline_n_7864092.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Pollster,7/24/15,Huffpost Pollster,Huffpost Politics/Pollster
94,"The Bob & Chez Show Podcast: Conspiracy Theorist Alex Jones Attacks Bob Regarding the Planned Parenthood Gotcha Video, Plus Trump and Jeb Bush | Bob Cesca",http://www.huffingtonpost.com/bob-cesca/the-bob-chez-show-podcast_6_b_7861828.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Politics,7/24/15,Huffpost Politics,Huffpost Politics/Pollster
95,A Rubio Rebuke | Joe Peyronnin,http://www.huffingtonpost.com/joe-peyronnin/a-rubio-rebuke_b_7868638.html?utm_hp_ref=donald-trump,Donald Trump,7/24/15,Trump,Huffpost Politics,7/24/15,Huffpost Politics,Huffpost Politics/Pollster
